model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_1_AutoML_1_20251210_153928,107624.69829521573,11583075683.13621,60561.442039630274,0.1123034294353598,11583075683.13621
StackedEnsemble_BestOfFamily_1_AutoML_1_20251210_153928,109284.85960025137,11943180537.84665,62493.19883281657,0.1116361661263011,11943180537.84665
GBM_3_AutoML_1_20251210_153928,114434.6179038392,13095281774.79767,65517.288904237575,,13095281774.79767
GBM_2_AutoML_1_20251210_153928,114722.24958807,13161194550.547426,67222.44341559584,,13161194550.547426
GBM_4_AutoML_1_20251210_153928,115245.1418990825,13281442731.339664,67471.27192639065,,13281442731.339664
GBM_5_AutoML_1_20251210_153928,116259.20897122142,13516203670.614132,65725.55742687397,0.116914911464292,13516203670.614132
GBM_grid_1_AutoML_1_20251210_153928_model_2,117307.46875299598,13761042225.235126,64552.35749755915,0.1168657076903172,13761042225.235126
XGBoost_grid_1_AutoML_1_20251210_153928_model_3,121427.8093251384,14744712877.502172,66990.74992367896,0.1064561402682718,14744712877.502172
GBM_grid_1_AutoML_1_20251210_153928_model_1,122984.05332590712,15125077372.469568,69240.02616125076,0.1207966688249316,15125077372.469568
XGBoost_3_AutoML_1_20251210_153928,124770.66544208497,15567718954.860691,75340.0268129718,,15567718954.860691
XGBoost_2_AutoML_1_20251210_153928,128179.37469679074,16429952097.660278,76690.58607973468,0.1581061864135695,16429952097.660278
XGBoost_1_AutoML_1_20251210_153928,131033.69821795028,17169830068.67286,82038.29149436612,0.1462136175672854,17169830068.67286
GBM_1_AutoML_1_20251210_153928,139650.3456872829,19502219050.577618,83958.46309554345,0.1578062974523781,19502219050.577618
XGBoost_grid_1_AutoML_1_20251210_153928_model_2,158600.64942534783,25154165998.14208,95021.02696908305,0.159403074540319,25154165998.14208
DRF_1_AutoML_1_20251210_153928,195863.43061119365,38362483450.78587,119739.1429905362,0.1887617757812729,38362483450.78587
XGBoost_grid_1_AutoML_1_20251210_153928_model_1,215611.25382595172,46488212776.39901,136957.86428036192,0.2126342958205615,46488212776.39901
DeepLearning_grid_3_AutoML_1_20251210_153928_model_1,216146.22293939107,46719189690.96495,133963.07385607666,0.1991650414574231,46719189690.96495
XRT_1_AutoML_1_20251210_153928,217755.3723589157,47417402191.17001,142725.09931297184,0.2251095056719555,47417402191.17001
DeepLearning_grid_2_AutoML_1_20251210_153928_model_1,240995.3572919646,58078762236.281685,159376.11187862497,0.2396185815285715,58078762236.281685
DeepLearning_grid_1_AutoML_1_20251210_153928_model_1,328878.26234026096,108160911439.9495,244431.28038756177,0.3618959529262544,108160911439.9495
DeepLearning_1_AutoML_1_20251210_153928,488745.62898167694,238872289848.695,387699.3302306678,0.518474495618981,238872289848.695
GLM_1_AutoML_1_20251210_153928,578742.1338614154,334942457506.46454,474905.9496833632,0.6177317052044663,334942457506.46454
